Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),Gas:Facility [J](Monthly),Gas:Facility [J](RunPeriod) 
January,183858990093.00709,400298112.0,176776292518.8904,6076099462.116457,450397649820.8594,450397649820.8594 
July,464819351894.46188,90058532385.09597,82364361161.95893,281992172651.4067,158519659824.77708,158519659824.77708 
July,460048449789.4963,90058532385.09597,82364361161.95893,277221270546.4417,161969646720.53727,161969646720.53727 
