Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),Gas:Facility [J](Monthly),Gas:Facility [J](RunPeriod) 
January,185100988211.852,400298112.0,177927822313.07679,6046717786.775199,448181828790.0828,448181828790.0828 
July,467931805704.09707,90058532385.09597,83982865995.7677,283605971627.23318,157837692817.30143,157837692817.30143 
July,463199934092.29507,90058532385.09597,83982865995.7677,278874100015.43118,161291306326.04069,161291306326.04069 
